doi,theory_id,theory,title,year,"Q1: Does the paper/theory suggest an aging biomarker (i.e. measurable entity reflecting the pace of aging or organism health state, associated with mortality or age-related conditions)?",Q2: Does the paper/theory suggest a molecular mechanism of aging?,Q3: Does the paper/theory suggest a longevity intervention to test?,Q4: Does the paper/theory claim that aging cannot be reversed? (Yes / No),Q5: Does the paper/theory suggest a biomarker that explains differences in maximum lifespan between species? (Yes / No),Q6: Does the paper/theory explain why the naked mole rat can live 40+ years despite its small size?,Q7: Does the paper/theory explain why birds live much longer than mammals on average?,Q8: Does the paper/theory explain why large animals live longer than small ones?,Q9: Does the paper/theory explain why calorie restriction increases the lifespan of vertebrates?
10.1002/(SICI)1520-6300(1999)11:1<45::AID-AJHB4>3.0.CO;2-B,T0315,Lipid Peroxidation and Antioxidant Balance Free Radical Theory,Superoxide dismutase activity levels in a Spanish population 50-93 years.,1999,"Yes, but not shown",Yes,No,No,No,No,No,No,Yes
10.1002/(SICI)1520-6408(1996)18:2<154::AID-DVG8>3.0.CO;2-8,T0526,Ras-Erk-ETS Signaling Theory,Differential response to UV stress and DNA damage during the yeast replicative life span.,1996,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/(SICI)1520-6408(1996)18:2<99::AID-DVG2>3.0.CO;2-W,T1760,Hormone-Mediated Antagonistic Pleiotropy Theory,Age-dependent expression of the androgen receptor gene in the prostate and its implication in glandular differentiation and hyperplasia.,1996,"Yes, but not shown",Yes,No,No,Yes,No,No,No,No
10.1002/(SICI)1521-1878(199802)20:2<113::AID-BIES3>3.0.CO;2-U,T0188,Insulin/IGF-1 Signaling and FOXO-Mediated Aging Theory,Methuselah meets diabetes.,1998,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/(SICI)1521-1878(199812)20:12<977::AID-BIES3>3.0.CO;2-E,T0010,Telomere Shortening and Replicative Senescence Theory,A reassessment of the telomere hypothesis of senescence.,1998,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/(SICI)1521-1878(199812)20:12<985::AID-BIES4>3.0.CO;2-A,T0230,Telomere and DNA Damage-Induced Cellular Senescence Theory,How might replicative senescence contribute to human ageing?,1998,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1002/(SICI)1521-1878(199906)21:6<519::AID-BIES8>3.0.CO;2-U,T0303,p16Ink4a-Mediated Cellular Senescence Theory,Does the immune system of a mouse age faster than the immune system of a human?,1999,"Yes, but not shown",Yes,No,No,Yes,No,No,No,Yes
10.1002/(SICI)1521-1878(200005)22:5<410::AID-BIES2>3.0.CO;2-C,T0934,p66Shc Oxidative Stress Regulation Theory,The real Dorian Gray mouse.,2000,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/0470868694.ch10,T0548,Replicative Senescence and Telomere-Associated Cellular Senescence Theory,Identification of genes involved in cell senescence and immortalization: potential implications for tissue ageing.,2001,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/0470868694.ch18,T0017,Caloric Restriction Longevity Theory,The anti-ageing action of dietary restriction.,2001,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/0470868694.ch19,T0184,Mitochondrial ROS-Induced mtDNA Mutation Theory,Mitochondrial DNA mutations in disease and ageing.,2001,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/0470868694.ch20,T0068,Mitochondrial ROS and Oxidative Damage Theory,A mitochondrial paradigm for degenerative diseases and ageing.,2001,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/0470870796.ch10,T1534,Neuroendocrine Network Disruption Theory,"Nature of altered pulsatile hormone release and neuroendocrine network signalling in human ageing: clinical studies of the somatotropic, gonadotropic, corticotropic and insulin axes.",2000,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1002/1096-8644(200011)113:3<435::AID-AJPA11>3.0.CO;2-O,T0014,Grandmother Hypothesis,Grandmother hypothesis and primate life histories.,2000,No,No,No,No,Yes,No,Yes,Yes,No
10.1002/1097-0045(20000601)43:4<272::AID-PROS6>3.0.CO;2-D,T1760,Hormone-Mediated Antagonistic Pleiotropy Theory,"Life expectancy, antagonistic pleiotropy, and the testis of dogs and men.",2000,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/1097-0142(19911201)68:11+<2496::aid-cncr2820681503>3.0.co;2-b,T0050,Immunosenescence Theory,Gerontology as oncology. Research on aging as the key to the understanding of cancer.,1991,"Yes, but not shown",Yes,Yes,No,No,No,No,Yes,Yes
10.1002/1099-1050(200012)9:8<669::AID-HEC542>3.0.CO;2-K,T1351,Capital Investment Theories,Is there a trade-off between longevity and quality of life in Grossman's pure investment model?,2000,No,No,No,No,No,No,No,No,No
10.1002/1439-7633(20010601)2:6<392::AID-CBIC392>3.0.CO;2-N,T1532,Mitochondrial ROS and Hormonal Regulation of Aging,Cytochrome C oxidase and the regulation of oxidative phosphorylation.,2001,"Yes, but not shown",Yes,No,No,Yes,No,Yes,No,No
10.1002/1873-3468.12902,T0009,Mitochondrial ROS-Induced Aging Theory,The role of mitochondrial ROS in the aging brain.,2018,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/1873-3468.13156,T0037,Free Radical Theory,Enhanced expression of thioredoxin-interacting-protein regulates oxidative DNA damage and aging.,2018,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1002/1873-3468.13483,T0566,Cellular Reprogramming Theory,Mechanisms of cellular rejuvenation.,2019,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/1873-3468.13802,T0718,Mitochondrial Quality Control and Turnover Decline Theory,Mitochondrial turnover and homeostasis in ageing and neurodegeneration.,2020,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/1873-3468.14205,T0150,Transposable Element Activation Theory,Transposable elements as new players in neurodegenerative diseases.,2021,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/1873-3468.14865,T0808,Stem Cell Polarity and Division Regulation Theory,Rejuvenating aged stem cells: therapeutic strategies to extend health and lifespan.,2024,"Yes, but not shown",Yes,Yes,No,No,Yes,No,No,Yes
10.1002/1873-3468.14939,T0289,Sirtuin-Mediated Genome Stability Theory,The age-related decline of helicase function-how G-quadruplex structures promote genome instability.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/1873-3468.14995,T0141,Mitochondrial ROS and Antioxidant Enzyme Theory,Oxidative stress and aging: synergies for age related diseases.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/1878-0261.13261,T0031,Metabolic Regulation Theory,Metabolic reprogramming: a bridge between aging and tumorigenesis.,2022,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/1878-0261.13269,T1007,Autophagy Decline-Driven Senescence Theory,"Autophagy at the intersection of aging, senescence, and cancer.",2022,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1002/1878-0261.13275,T0656,Somatic Evolution and Selection Theory,The sculpting of somatic mutational landscapes by evolutionary forces and their impacts on aging-related disease.,2022,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/1878-0261.13285,T0018,Genomic Instability and DNA Repair Deficiency Theory,DNA repair as a shared hallmark in cancer and ageing.,2022,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1002/9780470511848.ch17,T1536,Reactive Carbonyl and Glycation Damage Accumulation Theory,Endogenous alpha-oxoaldehydes and formation of protein and nucleotide advanced glycation endproducts in tissue damage.,2007,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/9780470513583.ch13,T0427,Reproduction-Maintenance Trade-off Disposable Soma Theory,The nature and causes of ageing.,1988,No,No,No,No,No,No,No,No,No
10.1002/9780470515433.ch7,T0129,SIR2-Mediated Longevity Regulation Theory,Chromatin and ageing in yeast and in mammals.,1997,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/9780470515433.ch9,T0095,Telomere Shortening and Telomerase Activity Theory,Human ageing and telomeres.,1997,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/9780470725207.ch14,T1439,Mitochondrial DNA Mutation and Dysfunction Theory,Mitochondrial dysfunction in mammalian ageing.,2007,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/9780470754030.ch4,T0790,Genetic Regulation and Pleiotropy Theory,Systems biology of molecular chaperone networks.,2008,No,Yes,Yes,No,No,No,No,No,No
10.1002/JLB.1RI0418-160R,T1096,Immune Cell Epigenetic Aging Clock Theory,Epigenetics of T cell aging.,2018,"Yes, but not shown",Yes,No,No,Yes,No,No,No,No
10.1002/JLB.3MR0118-003R,T0011,Senescent Cell Accumulation and SASP Theory,Innate immunity and cellular senescence: The good and the bad in the developmental and aged brain.,2018,"Yes, but not shown",Yes,No,No,No,No,No,No,Yes
10.1002/JPER.20-0529,T0302,Senescence-Associated Secretory Phenotype (SASP) and Systemic Aging Theory,Senescent cells exacerbate chronic inflammation and contribute to periodontal disease progression in old mice.,2021,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/aac2.12046,T0655,Evolutionary Cancer Suppression Theory,Increased risk of cancer in dogs and humans: a consequence of recent extension of lifespan beyond evolutionarily-determined limitations?,2022,No,No,No,No,No,No,No,Yes,No
10.1002/adbi.202200119,T0797,Transcriptional Regulation and Aging,Activity-Dependent Induction of Younger Biological Phenotypes.,2022,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1002/adbi.202300445,T1213,Mitochondrial DNA Damage and Deletion Accumulation Theory,The Changes of Mitochondria during Aging and Regeneration.,2024,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/adbi.202300461,T0119,Senescence-Associated Secretory Phenotype (SASP) and Inflammation Theory,Recent Advancement in Elimination Strategies and Potential Rejuvenation Targets of Senescence.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/adbi.202300654,T0697,Adaptive Response Theory,Aging as a Consequence of the Adaptation-Maladaptation Dilemma.,2024,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/adbi.202300658,T0688,Evolutionary Programmatic Senescence Theory,Mammal Aging as a Programmed Life Cycle Function - Resolving the Cause and Effect Conundrum.,2024,No,No,No,Not available,No,No,No,No,No
10.1002/adbi.202400138,T0299,Nutrient and Metabolic Signaling Programmed Longevity Theories,"Low-Molecular Weight Compounds that Extend the Chronological Lifespan of Yeasts, Saccharomyces cerevisiae, and Schizosaccharomyces pombe.",2024,No,Yes,Yes,No,No,No,No,No,No
10.1002/adbi.202400597,T0723,Mitochondrial Dysfunction and Quality Control Decline Theory,Ameliorating TIMM50 Loss Slows Senescence by Improving Mitochondrial Structure and Function.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/adbi.202500110,T0017,Caloric Restriction Longevity Theory,"Lithocholic Acid, Calorie Restriction, and Halting Aging.",2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/advs.202307751,T0256,DNA Damage Response and Repair Pathway Theory,The Compromised Fanconi Anemia Pathway in Prelamin A-Expressing Cells Contributes to Replication Stress-Induced Genomic Instability.,2024,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/advs.202401593,T0978,Myc Network Theory,Body-Wide Inactivation of the Myc-Like Mlx Transcription Factor Network Accelerates Aging and Increases the Lifetime Cancer Incidence.,2024,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1002/advs.202402168,T1201,Extracellular Matrix-Mediated Senescence Theory,The Matrix Protein Tropoelastin Prolongs Mesenchymal Stromal Cell Vitality and Delays Senescence During Replicative Aging.,2024,"Yes, but not shown",Yes,Yes,Yes,No,No,No,No,No
10.1002/advs.202412747,T0254,Histone Modification Theory,Histone Lactylation Antagonizes Senescence and Skeletal Muscle Aging by Modulating Aging-Related Pathways.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/advs.202414871,T2051,Transcription Factor-Mediated Neurodegeneration and Metabolic Decline Theory,Neuronal C/EBPβ Shortens the Lifespan via Inactivating NAMPT.,2025,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1002/advs.202416559,T0341,Ferroptosis Theory,Inhibition of Ferroptosis Delays Aging and Extends Healthspan Across Multiple Species.,2025,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1002/advs.202501233,T0069,Telomere-Associated Cellular Senescence Theory,PRDM16 Reduces Cellular Senescence by Upregulating GSTM1.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/advs.202502375,T0174,Progerin Accumulation Theory,Attenuated Nuclear Tension Regulates Progerin-Induced Mechanosensitive Nuclear Wrinkling and Chromatin Remodeling.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/advs.202509872,T1647,Motivational and Cognitive Resource Allocation Theory,Aging as a Loss of Goal-Directedness: An Evolutionary Simulation and Analysis Unifying Regeneration with Anatomical Rejuvenation.,2025,"Yes, but not shown",No,Yes,No,No,No,No,No,No
10.1002/agm2.12028,T0136,Activity Theory,Toward successful aging: <i>The Chinese Health Criteria for the Elderly</i>.,2018,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1002/agm2.12273,T0409,Proliferation Limitation Theory,A pathological convergence theory for non-communicable diseases.,2023,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/agm2.12342,T0888,Nutrient-Sensing Pathways Longevity Theory,Fasting and calorie restriction modulate age-associated immunosenescence and inflammaging.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/ajb2.16247,T0227,Demographic Senescence Theory,Aging varies greatly within a single genus: A demographic study of Rhododendron spp. in botanic gardens.,2023,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1002/ajh.2830420110,T0085,Cellular Aging Mechanisms,Mechanism of red blood cell aging: relationship of cell density and cell age.,1993,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/ajhb.10038,T1083,Declining Force of Natural Selection Mutation Accumulation Theories,Antiquity of postreproductive life: are there modern impacts on hunter-gatherer postreproductive life spans?,2002,"Yes, but not shown",No,No,No,Yes,No,Yes,Yes,No
10.1002/ajhb.10156,T0014,Grandmother Hypothesis,Grandmothers and the evolution of human longevity.,2003,"Yes, but not shown",Yes,No,No,Yes,No,Yes,Yes,Yes
10.1002/ajhb.1076,T0014,Grandmother Hypothesis,A critique of the grandmother hypotheses: old and new.,2001,No,No,No,No,No,No,No,Yes,No
10.1002/ajhb.1310010310,T0871,Evolutionary Population-Level Antagonistic Pleiotropy Theory,"Evolutionary, biosocial, and cross-cultural perspectives on the variability in human biological aging.",1989,"Yes, but not shown",No,Yes,No,No,No,No,No,Yes
10.1002/ajhb.1310010311,T0564,Lifespan Limit and Biological Constraint Theory,Are the known chronic diseases related to the human lifespan and its evolution?,1989,"Yes, but not shown",No,Yes,Yes,Yes,No,No,Yes,Yes
10.1002/ajhb.1310010314,T0913,Hormesis and Stress Response CR Theories,Food restriction research: Its significance for human aging.,1989,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1002/ajhb.20105,T0598,Declining Natural Selection Force and Mutation Accumulation Evolutionary Theory,Issues in evolutionary medicine.,2005,"Yes, but not shown",No,Yes,No,No,No,No,Yes,Yes
10.1002/ajhb.20439,T0198,Education-Based Cognitive Reserve Theory,The aging brain: the cognitive reserve hypothesis and hominid evolution.,2005,"Yes, but not shown",Yes,No,No,Yes,No,No,Yes,No
10.1002/ajhb.20488,T0007,Classical Evolutionary Antagonistic Pleiotropy Theory,"A reassessment of sexual dimorphism in human senescence: theory, evidence, and causation.",2006,"Yes, but not shown",Yes,No,No,No,No,No,Yes,No
10.1002/ajhb.20528,T0154,Classical Evolutionary Mutation Accumulation Theory,Adrenarche and the evolution of human life history.,2006,"Yes, but not shown",No,No,No,Yes,No,No,Yes,No
10.1002/ajhb.20879,T1461,Sexual Antagonistic Pleiotropy and Life-History Trade-Offs,"Why men have shorter lives than women: effects of resource availability, infectious disease, and senescence.",2009,No,Yes,No,No,No,No,Yes,No,No
10.1002/ajhb.20890,T0201,Heterogeneity Theory,Mortality and fertility rates in humans and chimpanzees: How within-species variation complicates cross-species comparisons.,2009,"Yes, but not shown",No,No,No,Yes,No,No,No,No
10.1002/ajhb.20893,T0022,Reproduction-Longevity Trade-Off Antagonistic Pleiotropy Theory,Is there a trade-off between fertility and longevity? A comparative study of women from three large historical databases accounting for mortality selection.,2009,"Yes, quantitatively shown",No,No,No,No,No,No,No,No
10.1002/ajhb.20895,T1350,Adaptive Capacity Theory,"Childhood, adolescence, and longevity: A multilevel model of the evolution of reserve capacity in human life history.",2009,"Yes, but not shown",No,No,No,Yes,No,No,Yes,No
10.1002/ajhb.21017,T0669,Life History Energy Allocation and Trade-Off Theory,Independent changes in female body shape with parity and age: A life-history approach to female adiposity.,2010,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1002/ajhb.21127,T0668,Telomere Length Regulation and Inheritance Theory,An evolutionary review of human telomere biology: the thrifty telomere hypothesis and notes on potential adaptive paternal effects.,2011,"Yes, but not shown",Yes,No,No,Yes,No,Yes,Yes,No
10.1002/ajhb.22243,T0169,Caloric Restriction Theory,The caloric restriction paradigm: implications for healthy human aging.,2012,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1002/ajhb.22287,T0285,Thrifty Phenotype Hypothesis,Effect of birth season on longevity: thrifty and hopeful phenotypes in historical Quebec.,2012,"Yes, quantitatively shown",No,No,No,No,No,No,No,No
10.1002/ajhb.22538,T0110,Telomere Attrition and Cellular Senescence Theory,Blood cell telomere lengths and shortening rates of chimpanzee and human females.,2014,"Yes, but not shown",Yes,No,No,Yes,No,No,Yes,No
10.1002/ajhb.23069,T0649,Reproductive Effort and Terminal Investment Life History Theory,The cost of reproduction in women: Reproductive effort and oxidative stress in premenopausal and postmenopausal American women.,2018,"Yes, quantitatively shown",Yes,No,No,No,No,No,No,No
10.1002/ajhb.23537,T1228,Oxidative Damage Life-History Tradeoff Theory,Accelerated senescence as a cost of reproduction: Testing associations between oxidative stress and reproductive effort in rural and urban women.,2021,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/ajhb.70045,T0014,Grandmother Hypothesis,"Revisiting ""Grandmothers and the Evolution of Human Longevity"" 2003 AJHB https://doi.org/10.1002/ajhb.10156.",2025,"Yes, but not shown",No,No,No,Yes,No,Yes,Yes,No
10.1002/ajp.1350280403,T0255,Evolutionary Life-History Trade-Off Theory,Primate longevity: Its place in the mammalian scheme.,1992,"Yes, but not shown",Yes,No,No,Yes,No,Yes,Yes,No
10.1002/ajp.22677,T0267,Reproductive Energy Allocation Antagonistic Pleiotropy Theory,High reproductive effort is associated with decreasing mortality late in life in captive ruffed lemurs.,2017,No,No,No,No,No,No,No,No,No
10.1002/ajpa.10025,T0779,Reproductive Strategy-Driven Life History Theory,Reproductive ecology and life history of the human male.,2001,"Yes, but not shown",No,No,No,No,No,No,No,Yes
10.1002/ajpa.10183,T0204,Early-Life Programming Theory,Critical periods in human growth and their relationship to diseases of aging.,2002,"Yes, but not shown",Yes,Yes,No,Yes,Yes,No,No,Yes
10.1002/ajpa.1330670303,T1308,Temporal Scaling Developmental Theory,Aging in the musculoskeletal system of rhesus monkeys: II. Degenerative joint disease.,1985,"Yes, but not shown",Yes,No,No,Yes,No,No,No,No
10.1002/ajpa.20798,T0202,Mother's Curse Mitochondrial Theory,Grandmothers' longevity negatively affects daughters' fertility.,2008,No,No,No,No,No,No,No,No,No
10.1002/ajpa.22300,T0257,Hormonal Regulation of Metabolic Aging,Brief communication: Adrenal androgens and aging: Female chimpanzees (Pan troglodytes) compared with women.,2013,"Yes, but not shown",Yes,No,No,Yes,No,No,No,No
10.1002/ajpa.23146,T0253,Allostasis and Allostatic Load Theory,Allostatic load and biological anthropology.,2017,"Yes, but not shown",No,No,No,Yes,No,No,No,No
10.1002/alz.13111,T0025,Calcium Dysregulation Theory,Calcium sensor Yellow Cameleon 3.6 as a tool to support the calcium hypothesis of Alzheimer's disease.,2023,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/alz.70312,T2078,Cognitive and Neurobiological Resilience,The first 25 years of the Northwestern University SuperAging Program.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/ana.20624,T0081,Mitochondrial DNA Mutation and Deletion Accumulation Theory,Mitochondria take center stage in aging and neurodegeneration.,2005,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/ana.20637,T0216,Life Experience and Neural Compensation Cognitive Reserve Theory,A life course approach to cognitive reserve: a model for cognitive aging and development?,2005,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1002/ana.26900,T0148,Rate of Biological Aging Theory,"Diet, Pace of Biological Aging, and Risk of Dementia in the Framingham Heart Study.",2024,"Yes, but not shown",No,Yes,No,No,No,No,No,No
10.1002/ana.27046,T0078,Reproduction-Longevity Trade-off Antagonistic Pleiotropy Theory,Mutant Huntingtin Drives Development of an Advantageous Brain Early in Life: Evidence in Support of Antagonistic Pleiotropy.,2024,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1002/ana.410310202,T0832,Mitochondrial Metabolism and Signaling Theory,Does impairment of energy metabolism result in excitotoxic neuronal death in neurodegenerative illnesses?,1992,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1002/ana.410340416,T0231,Mitochondrial DNA Damage and Oxidative Stress Theory,Oxidative damage to mitochondrial DNA shows marked age-dependent increases in human brain.,1993,"Yes, quantitatively shown",Yes,No,No,No,No,No,No,No
10.1002/ana.410410120,T0059,Mitochondrial DNA Mutation-Driven Aging Theory,Mitochondrial function in muscle from elderly athletes.,1997,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/ana.410420602,T0688,Evolutionary Programmatic Senescence Theory,Aging and the brain: a new frontier.,1997,"Yes, but not shown",Yes,Yes,No,Yes,No,Yes,Yes,Yes
